data,valor
2024-01-01,1250
2024-01-08,1380
2024-01-15,1520
2024-01-22,1450
2024-01-29,1680
2024-02-05,1590
2024-02-12,1720
2024-02-19,1850
2024-02-26,1780
2024-03-04,1920
2024-03-11,2100
2024-03-18,2050
2024-03-25,2180
2024-04-01,2340
2024-04-08,2280
2024-04-15,2450
2024-04-22,2520
2024-04-29,2680
2024-05-06,2750
2024-05-13,2890
2024-05-20,2820
2024-05-27,3050
2024-06-03,3180
2024-06-10,3250
2024-06-17,3120
2024-06-24,3380
2024-07-01,3450
2024-07-08,3520
2024-07-15,3680
2024-07-22,3750
2024-07-29,3890
2024-08-05,3820
2024-08-12,4050
2024-08-19,4180
2024-08-26,4250
2024-09-02,4380
2024-09-09,4520
2024-09-16,4450
2024-09-23,4680
2024-09-30,4750
2024-10-08,4890
2024-10-15,5020
2024-10-22,5180
2024-10-29,5350
2024-11-05,5480
2024-11-12,5620
2024-11-19,5780
2024-11-25,5950
